bin	feature	bin.event	locus	locus_overlap	gene_coordinates	start	end	length	bin.logFC	bin.pvalue	bin.fdr	J3	J3.multiplicity	junction.logFC	junction.log.mean	junction.pvalue	junction.fdr	junction.dPIR	junction.dPIN	junction.uniformity	countsJ1.col_16	countsJ1.col_23	countsJ2.col_16	countsJ2.col_23	countsJ3.col_16	countsJ3.col_23
AT1G06690:I006	I	-	AT1G06690	-	1:2049602-2052154	2051155	2051231	77	-0.86097418791743	0.000620058485837213	0.143834278005785	1.2051154.2051232	No	0.0960190148485366	7.7267858142838	0.361471685245951	1	-0.0493987225305776	NA	NA	3.66666666666667	8	5.33333333333333	13	274	149.666666666667
AT1G07210:I001	I	-	AT1G07210	-	1:2215223-2216982	2215423	2215512	90	-2.28236239814863	0.000161085792152951	0.0667265932526903	1.2215422.2215513	No	0.0548523113034562	7.15818889339134	0.632785913244785	1	-0.0239527150653111	NA	NA	0.333333333333333	2.66666666666667	0	4.66666666666667	143.333333333333	142.333333333333
AT1G07320:I002	I	-	AT1G07320	-	1:2249133-2250529	2250026	2250172	147	-0.38337134010775	0.000315268051997082	0.0989265657588199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G07350:I008	I	-	AT1G07350	-	1:2257425-2260101	2259587	2260011	425	0.975979415496132	0.000338168546054435	0.103420843571125	1.2259586.2260012	No	-0.0635775274196888	5.82442843541655	0.682184188676435	1	0.0341233012926748	NA	NA	4	2	2	2.33333333333333	43.6666666666667	69.6666666666667
AT1G08840:E029	E	-	AT1G08840	-	1:2829105-2838469	2836158	2836290	133	0.589698449023031	0.000889802379218144	0.179080162899226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G08980:I003	I	-	AT1G08980	-	1:2884411-2886620	2885059	2885149	91	0.601554428344761	0.000873471971026395	0.177159802786712	1.2885058.2885150	No	-0.0569477818595043	8.08569374839728	0.566343406323607	1	0.0294091725330778	NA	NA	15.6666666666667	13.3333333333333	17.6666666666667	9.33333333333333	238.666666666667	304.666666666667
AT1G10522:E005	E	-	AT1G10522	-	1:3469580-3471488	3469968	3470263	296	-0.438434579717066	3.30604504052269e-09	1.0353144528e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G10522:E006	E	-	AT1G10522	-	1:3469580-3471488	3470340	3470435	96	-0.568631079803854	2.11570493473428e-12	1.84041646097643e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G10910:I009	I	-	AT1G10910	-	1:3639878-3644162	3643583	3643731	149	-0.700625827136061	0.000562670823378263	0.135960547613804	1.3643582.3643732	No	0.261415111811012	6.03342300153745	0.0773895360303151	1	-0.12410799676304	NA	NA	9	23	11	30	59	72
AT1G11380:I003	I	-	AT1G11380	-	1:3832623-3834191	3833503	3833608	106	-1.23233362685524	0.000683282385008924	0.150474926247978	1.3833502.3833609	No	0.493035954025837	4.61470984411521	0.0378160178924258	1	-0.238347520685755	NA	NA	2	10	1.66666666666667	12	24.3333333333333	24.6666666666667
AT1G11820:I002	I	-	AT1G11820	-	1:3991027-3993598	3991416	3991721	306	-0.911880668331587	8.30409384011246e-05	0.0430545268010255	1.3991415.3991722	No	0.0699821424828518	7.23202112253423	0.541181722679576	1	-0.0371657693268816	NA	NA	1	5.33333333333333	0.666666666666667	12.6666666666667	108.666666666667	192
AT1G11880:I001	I	-	AT1G11880	-	1:4007705-4010433	4008074	4008176	103	-3.46843597323959	0.000226287697937342	0.0816403259339426	1.4008073.4008177	No	0.462177177977891	3.22239242133645	0.217694535367685	1	-0.228915662650602	NA	NA	0	3.33333333333333	0	3	8	10.6666666666667
AT1G12110:I004	I	-	AT1G12110	-	1:4105233-4109545	4106702	4108425	1724	-0.573626523448343	9.26872638969008e-05	0.0465156381208745	1.4106701.4108426	No	0.0216495196983376	6.97345821254751	0.854816853182885	1	-0.00952678548178899	NA	NA	11.6666666666667	6.33333333333333	2	1.66666666666667	171.666666666667	79.6666666666667
AT1G12900:E007	E	Alt3ss	AT1G12900	-	1:4392450-4394400	4393851	4393896	46	-0.666792869320396	2.72138254201874e-07	0.000484217451189492	1.4393850.4394044	No	-3.55388284121183e-05	13.5859210046309	0.999621646678703	0.999998295538406	NA	0	NA	0	0	0	0	14361.3333333333	10231
AT1G14205:I004	I	-	AT1G14205	-	1:4855533-4856930	4856766	4856905	140	1.00346026883702	9.74577422932757e-12	7.6299179152694e-08	1.4856765.4856906	No	-1.07395304031457	4.89077093024524	1.1149975620326e-06	0.0145502403284274	0.35846265818327	NA	NA	10.3333333333333	4.66666666666667	99	43.3333333333333	19.6666666666667	39.6666666666667
AT1G14210:I001	I	-	AT1G14210	-	1:4856778-4857964	4857183	4857260	78	-1.39380494897811	2.25149964433929e-10	1.10167988378438e-06	1.4857182.4857261	No	0.543259053250498	5.63903917347695	0.00206034874251842	1	-0.259203873816136	NA	NA	12.3333333333333	27.3333333333333	6	10.6666666666667	68.3333333333333	31.3333333333333
AT1G14380:I004	I	-	AT1G14380	-	1:4918010-4921596	4919996	4920084	89	-1.40349885239208	0.000149886259845529	0.0636017362611196	1.4919995.4920085	No	0.113213804649297	6.04439411935845	0.454983723422167	1	-0.0565679307676071	NA	NA	1.33333333333333	4.66666666666667	0.666666666666667	6.66666666666667	60	72
AT1G14580:I004	I	-	AT1G14580	-	1:4989562-4992732	4990881	4991622	742	-0.982577311836978	3.35040954329812e-05	0.0229084618288243	1.4990880.4991623	No	0.207669735423495	5.59991284218713	0.220815390457662	1	-0.102929292929293	NA	NA	0.666666666666667	0.666666666666667	4	12.3333333333333	57.6666666666667	39.3333333333333
AT1G14720:I001	I	-	AT1G14720	-	1:5066636-5068645	5067311	5067781	471	-0.509211214748838	3.00644616307102e-05	0.0214952663820775	1.5067310.5067782	No	0.0933450329597977	7.31891934501502	0.400556881330928	1	-0.0447216606676199	NA	NA	10	15.6666666666667	19	20.3333333333333	184.333333333333	135
AT1G15690:I007	I	-	AT1G15690	-	1:5398990-5402733	5401757	5401837	81	-0.366134286286803	0.000935162424755148	0.183146069212177	1.5401756.5401838	No	0.0173179990744892	11.5744358471319	0.824739938144366	1	-0.00862818673407018	NA	NA	25.3333333333333	46	21.3333333333333	42	3323	2776.33333333333
AT1G16720:I011	I	-	AT1G16720	-	1:5723088-5726478	5725903	5726050	148	-1.01997280472017	0.000952001500427957	0.183802025814438	1.5725902.5726051	No	0.0177495673673675	8.98156728190301	0.841547334311214	1	-0.00894901642904659	NA	NA	1.66666666666667	6.66666666666667	2.33333333333333	6.66666666666667	501.666666666667	509.333333333333
AT1G16880:I006	I	-	AT1G16880	-	1:5773592-5776308	5775210	5775539	330	-0.369412712314963	4.95373566452129e-05	0.0299479141550224	1.5775209.5775540	No	0.0275622875781582	10.3064414959439	0.735565467771717	1	-0.0143261617621396	NA	NA	27.3333333333333	46.6666666666667	30	48	1276	1256.66666666667
AT1G17370:I008	I	-	AT1G17370	-	1:5951542-5955037	5953111	5953202	92	-0.96632900289891	0.000634370564014286	0.145643854168318	1.5953110.5953203	No	0.0717874407188486	7.70850914811698	0.492846988779724	1	-0.0330834841044197	NA	NA	3.33333333333333	10	2	10	209.333333333333	209
AT1G17420:I001	I	-	AT1G17420	-	1:5977411-5981480	5977903	5978012	110	4.21330972029412	3.13082200275376e-07	0.00055081008805526	1.5977902.5978013	No	-0.277847130816143	4.41503749927884	0.242299862974528	1	0.138888888888889	NA	NA	3	0	3.66666666666667	0	20.6666666666667	22
AT1G17580:I036	I	-	AT1G17580	-	1:6039303-6049556	6048838	6049002	165	-1.17181583142458	0.000343113184012109	0.104306998200696	1.6048837.6049003	No	0.11554479499322	5.88264304936184	0.458020611725606	1	-0.0555096038967007	NA	NA	3	5	0.666666666666667	6.66666666666667	56.6666666666667	61.3333333333333
AT1G18730:E007	E	IR*	AT1G18730	-	1:6460598-6462224	6461390	6461843	454	-0.522500393884874	3.68728712134455e-05	0.0241569761578665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G19835:I003	I	-	AT1G19835	-	1:6855952-6860443	6859042	6859118	77	-0.996007800560855	0.000412289717371788	0.116737634098295	1.6859041.6859119	No	0.0811862222148783	7.29308841200738	0.46858436761564	1	-0.0426819007129888	NA	NA	0.666666666666667	9	0.666666666666667	9.66666666666667	128	185.666666666667
AT1G20010:I002	I	-	AT1G20010	-	1:6937795-6940582	6939065	6940084	1020	-0.490958567764332	1.38440666082934e-07	0.00027439115258987	1.6939064.6940085	No	0.0229371576816941	10.1916761463524	0.781099785039532	1	-0.0116735189690861	NA	NA	23	47.6666666666667	20	28.6666666666667	1123.66666666667	1215.33333333333
AT1G20020:I008	I	-	AT1G20020	-	1:6942717-6945018	6944047	6944163	117	-0.400063715150962	7.17321929008881e-07	0.00115791288992043	1.6944046.6944164	No	0.0330727873742518	12.0908842976424	0.668911649395844	1	-0.0162324591932649	NA	NA	140.666666666667	219.333333333333	105	192	4274	4450.66666666667
AT1G20090:I001	I	-	AT1G20090	-	1:6966922-6968933	6967319	6967616	298	-0.481638085071163	0.000269712063741549	0.0898537132523149	1.6967318.6967617	No	0.156563402844981	7.86418614465428	0.124487648343627	1	-0.0753228665153455	NA	NA	8	35	11.6666666666667	38.3333333333333	201.666666666667	264.333333333333
AT1G20090:I002	I	-	AT1G20090	-	1:6966922-6968933	6967705	6967789	85	-0.758322011827349	0.000142795899857375	0.0615945983574874	1.6967704.6967790	No	0.13252095061846	8.05166211982249	0.183938532581984	1	-0.0678238732570322	NA	NA	9	40.6666666666667	5.33333333333333	30.3333333333333	212.666666666667	318
AT1G20260:I001	I	-	AT1G20260	-	1:7016693-7020590	7016804	7016926	123	-0.894468171556575	3.76645689518877e-05	0.0244977119355819	1.7016803.7016927	No	0.0171991775649438	9.11330807697088	0.846172649659375	1	-0.00855211083487488	NA	NA	2.66666666666667	4.66666666666667	5.33333333333333	13.6666666666667	540.333333333333	567.333333333333
AT1G20640:E003	E	-	AT1G20640	-	1:7154410-7158218	7154758	7154829	72	-0.117387309787116	0.426925305305302	0.999995054331151	1.7154549.7155170	No	-1.979962415872	2.16992500144231	0.000497164338299342	0.0583102745348228	NA	0.202284401189511	NA	0	0	44.3333333333333	55.3333333333333	0.666666666666667	8.33333333333333
AT1G20693:I003	I	-	AT1G20693	-	1:7176775-7178820	7177523	7177797	275	-0.537921572177964	4.57294975290853e-06	0.00534349178627361	1.7177522.7177798	No	0.0585794007573827	9.03250496457304	0.511871925743867	1	-0.028285421446965	NA	NA	20.3333333333333	27.6666666666667	14.3333333333333	23.3333333333333	615	432.333333333333
AT1G20693:I004	I	-	AT1G20693	-	1:7176775-7178820	7177856	7177959	104	-0.780139090992469	7.89912836885873e-05	0.0414243221938582	1.7177855.7177960	No	0.0483265328955564	9.35204342579543	0.577935486342106	1	-0.0247575669266018	NA	NA	11	26.6666666666667	8.33333333333333	18	737	570
AT1G20810:I001	I	-	AT1G20810	-	1:7232006-7233566	7232290	7232550	261	-0.479979710911632	0.000166461895188142	0.0682315106980736	1.7232289.7232551	No	0.0366167893886881	8.03342300153745	0.711513103293969	1	-0.0187902091624525	NA	NA	15.6666666666667	20.6666666666667	7	6.33333333333333	295.333333333333	228.666666666667
AT1G20910:I001	I	-	AT1G20910	-	1:7276943-7281138	7277305	7277396	92	2.34480413561722	0.000195137185734074	0.075817333511304	1.7277304.7277397	No	-0.131821444841277	5.56985560833095	0.436035494913063	1	0.0616901020126827	NA	NA	2	0.333333333333333	4.33333333333333	0.333333333333333	43.3333333333333	51.6666666666667
AT1G20970:I005	I	-	AT1G20970	-	1:7313946-7319574	7317442	7317659	218	-1.18080000988287	0.000362325875883785	0.108149897410659	1.7317441.7317660	No	0.0542085271555717	6.64385618977472	0.671404304585304	1	-0.0279305877105414	NA	NA	2	5.33333333333333	1	5.33333333333333	86.6666666666667	113.333333333333
AT1G21350:I006	I	-	AT1G21350	-	1:7476942-7479042	7478071	7478163	93	1.24685037701851	0.000465716890163975	0.124865556412646	1.7478070.7478164	No	-0.0559128290414286	7.23202112253423	0.624077904394599	1	0.0274156385802199	NA	NA	6	0.666666666666667	2	0.333333333333333	128	172.666666666667
AT1G22330:I003	I	-	AT1G22330	-	1:7886542-7889534	7887570	7887990	421	-0.439435024815372	0.00018861001886342	0.074388836633792	1.7887569.7887991	No	0.456014246718366	5.98489310760979	0.00267025941374398	1	-0.204384128112942	NA	NA	26	69	5.33333333333333	18.6666666666667	62.3333333333333	64.3333333333333
AT1G22330:I004	I	-	AT1G22330	-	1:7886542-7889534	7888025	7888316	292	-0.584534874049337	0.000539100662339007	0.134278592431618	1.7888024.7888317	No	0.213567416392815	6.14635653030391	0.143509453155674	1	-0.104803390350722	NA	NA	7.66666666666667	17	8	22	67.6666666666667	74
AT1G22360:I002	I	-	AT1G22360	-	1:7894858-7897591	7896006	7897019	1014	-0.573714456815681	2.74008185186487e-05	0.0200853847726887	1.7896005.7897020	No	0.100048201832426	7.18487534290828	0.385697958783742	1	-0.0492652500264298	NA	NA	9	13	12.6666666666667	18.6666666666667	164.333333333333	126.666666666667
AT1G22450:I001	I	-	AT1G22450	-	1:7925121-7927278	7925489	7925950	462	-0.619069662365256	0.000661658415381669	0.148062868665212	1.7925488.7925951	No	0.0266250583351493	9.18073798692994	0.761137747139225	1	-0.0124846672479565	NA	NA	8.66666666666667	13.3333333333333	5.33333333333333	12	632.666666666667	528
AT1G22530:I001	I	-	AT1G22530	-	1:7955493-7958442	7956019	7956350	332	-1.37126624034561	1.58001909207122e-10	8.53095894542825e-07	1.7956018.7956351	No	0.0811751456858438	8.28154371150505	0.396897344982012	1	-0.0381876899385939	NA	NA	2.66666666666667	18.3333333333333	1.66666666666667	11.6666666666667	305.666666666667	316.666666666667
AT1G22530:I002	I	-	AT1G22530	-	1:7955493-7958442	7956487	7956580	94	-1.73032843180064	7.33351962410608e-08	0.000166416691191726	1.7956486.7956581	No	0.0682798051054672	8.46011455121378	0.469202504112802	1	-0.0337163843814388	NA	NA	2.66666666666667	19.3333333333333	1.66666666666667	14.3333333333333	307.666666666667	396.666666666667
AT1G22530:I003	I	-	AT1G22530	-	1:7955493-7958442	7956709	7956784	76	-1.11992092753794	6.39683763839941e-05	0.0355518505917822	1.7956708.7956785	No	0.154499957451819	7.89986039354099	0.125813858146085	1	-0.076530319292248	NA	NA	3	24	1.33333333333333	22.6666666666667	229.333333333333	248.333333333333
AT1G22750:E010	E	Alt3ss*	AT1G22750	-	1:8050860-8052930	8052610	8052614	5	-0.6498127051722	7.42356982586953e-05	0.0398073678001652	1.8052480.8052663;1.8052480.8052615	Yes	0.371835442964311	6.31288295528436	0.00765411879099145	0.962565673258679	NA	-0.282385497713965	NA	8.33333333333333	45.3333333333333	0	0	83	76
AT1G22750:E011	E	Alt3ss*	AT1G22750	-	1:8050860-8052930	8052615	8052662	48	-0.472889021678213	0.000111104772120966	0.0532008382688952	1.8052480.8052663	No	0.0690727017616073	5.91488338636205	0.657264617193572	0.999998295538406	NA	-0.0590784189389136	NA	17.6666666666667	20.6666666666667	0	0	65.3333333333333	55.3333333333333
AT1G22770:I001	I	-	AT1G22770	-	1:8061844-8067716	8061982	8062190	209	-0.655054330816911	0.00048266569035414	0.125958851883268	1.8061981.8062191	No	0.0637221498298626	8.0260622965862	0.522386941001274	1	-0.0306472791754081	NA	NA	7.66666666666667	18.6666666666667	12.6666666666667	22.3333333333333	248.666666666667	272.666666666667
AT1G22770:I011	I	-	AT1G22770	-	1:8061844-8067716	8066311	8066611	301	-0.544503430974116	0.000946348598919849	0.183389006522613	1.8066310.8066612	No	0.0368049524891667	7.98489310760979	0.711834058956078	1	-0.0183941997851772	NA	NA	5.66666666666667	8.33333333333333	10.3333333333333	17	258	248.666666666667
AT1G22910:I002	I	-	AT1G22910	-	1:8105589-8108164	8106239	8106533	295	-0.664449915773236	0.000875416591500514	0.177324520673427	1.8106238.8106534	No	0.280421116032871	5.56478461878353	0.0991618647535015	1	-0.136314067611778	NA	NA	3	15	6.33333333333333	15.3333333333333	44.3333333333333	50.3333333333333
AT1G23030:I001	I	-	AT1G23030	-	1:8156646-8159077	8157024	8157199	176	-0.737271354752599	9.7572761802543e-05	0.048655558822549	1.8157023.8157200	No	0.202250372038357	6.36632221424582	0.138527495864017	1	-0.0988409586056645	NA	NA	12	33	6.33333333333333	21.6666666666667	67.3333333333333	97.6666666666667
AT1G23480:I004	I	-	AT1G23480	-	1:8333020-8336385	8334610	8334719	110	-0.731536693812247	0.000379811994367958	0.110335032033656	1.8334609.8334720	No	0.397548244196722	6.10503547069829	0.0075859999850154	1	-0.199732057416268	NA	NA	1.66666666666667	19.3333333333333	4.66666666666667	33	59.3333333333333	78.3333333333333
AT1G24020:I001	I	-	AT1G24020	-	1:8500400-8502065	8500934	8501271	338	-0.627939992982066	0.000640605946435115	0.145835069697134	1.8500933.8501272	No	0.0166767139792708	9.65075259404074	0.84514388226467	1	-0.00811073364045251	NA	NA	4	14	3.33333333333333	10.3333333333333	704.333333333333	903.333333333333
AT1G25275:E004	E	Alt5ss	AT1G25275	-	1:8860671-8861364	8860861	8860864	4	0.567805757942361	0.000363310827365141	0.108149897410659	1.8860860.8860949	No	-0.00067996310700115	9.4370584689252	0.993509793281027	0.999998295538406	NA	0	NA	0	0	0	0	701	685.333333333333
AT1G25275:E007	E	Alt5ss	AT1G25275	-	1:8860671-8861364	8861000	8861032	33	0.536380472461463	0.000117916485905966	0.0551091152431186	1.8860999.8861125	No	-0.00136776345895929	9.48951350001335	0.987666797055734	0.999998295538406	NA	0.00142964073141295	NA	0	0	1.33333333333333	0.333333333333333	706	731.666666666667
AT1G25275:I002	I	-	AT1G25275	-	1:8860671-8861364	8860865	8860948	84	0.517998997575058	6.29156458020549e-05	0.0353627146494719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G26660:I008	I	-	AT1G26660	-	1:9211740-9213974	9213537	9213693	157	-1.6774919723707	0.000894800616108742	0.179624340602168	1.9213536.9213694	No	0.130093484302694	4.79007693062577	0.542440579295845	1	-0.0643138775774029	NA	NA	1	4	0.333333333333333	1.66666666666667	26.3333333333333	29
AT1G26670:I001	I	-	AT1G26670	-	1:9215901-9218010	9216200	9216859	660	0.685869957655674	0.000103601852744652	0.0508522711627112	1.9216199.9216860	No	-0.0541109129022352	7.12928301694497	0.642800306499338	1	0.0294118065849071	NA	NA	9	8	2.66666666666667	1.66666666666667	99.3333333333333	180.666666666667
AT1G27150:I002	I	-	AT1G27150	-	1:9429047-9432274	9429767	9429852	86	1.45640919688151	0.000655127608994232	0.147439330286391	1.9429766.9429853	No	-0.156971007073802	5.83710226545166	0.326899430992046	1	0.0768555116381203	NA	NA	5.33333333333333	0.666666666666667	4	0.666666666666667	49	65.3333333333333
AT1G27400:I003	I	-	AT1G27400	-	1:9515135-9516940	9515525	9516003	479	-0.613426645963944	1.29479976013551e-12	1.1925791273074e-08	1.9515524.9516004	No	0.00332384242801707	10.9561341146284	0.966685045125873	1	-0.00170882410602599	NA	NA	10.3333333333333	17.3333333333333	15.6666666666667	14.3333333333333	2028.66666666667	1944.66666666667
AT1G27770:I006	I	-	AT1G27770	-	1:9671638-9676157	9675233	9675308	76	0.72963876200148	2.04576137130603e-05	0.0167096252783372	1.9675232.9675309	No	-0.483499008855232	6.02236781302845	0.00129557248727147	1	0.218269891932388	NA	NA	52.3333333333333	13.3333333333333	37.3333333333333	9.66666666666667	72	58
AT1G27770:I007	I	-	AT1G27770	-	1:9671638-9676157	9675364	9675833	470	0.642332368646038	3.05570167500398e-06	0.00392179272598727	1.9675363.9675834	No	-0.314557556702422	6.25738784269265	0.026914624443749	1	0.153446228688024	NA	NA	31	8.33333333333333	48.3333333333333	14.3333333333333	90	63
AT1G28100:I013	I	-	AT1G28100	-	1:9801082-9804394	9804027	9804130	104	-0.425838347513233	0.000447443522776113	0.122716059034345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G28670:I004	I	-	AT1G28670	-	1:10074507-10076344	10075859	10075985	127	-1.03961449711822	4.10272743811854e-05	0.0257112980190775	1.10075858.10075986	No	0.094567783924326	7.56985560833095	0.374806446254331	1	-0.0463666471848821	NA	NA	3	13.3333333333333	5	17.3333333333333	173	207
AT1G28710:E003	E	-	AT1G28710	-	1:10086600-10089772	10087431	10087820	390	0.320884213930368	0.000540973769149777	0.134278592431618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G28710:E008	E	-	AT1G28710	-	1:10086600-10089772	10088717	10088776	60	-0.583540187963218	0.000769154136128576	0.161655550981042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
